id,Name,Country,group,Biome,AreaKM2,Longitude,Latitude,Intactness_A,Intactness_R,Amphibian,Mammal,Bird,Food_A,Nonfood_A,Food_V,Nonfood_V,Livestock,Pasture_A,W_available,W_withdrawal,Sediment,NPP_actual,NPP_potential,C_veg,C_veg_pot,Forest,Wetland,Soil_C,Soil_C_density,CEC,Soil_water,Soil_N
1,Andes fueginos,"Argentina, Chile",Mountains,Temperate Broadleaf & Mixed Forests,56005.22,-70.23,-54.485,0.828498744,0.763404484,0.218828834,13.09241766,91.03030303,0.007430618,0,8.905729699,0,1068.252508,0.172180754,3478.960484,11.22995287,0.362908114,540.0771021,558.3787274,23.16034748,10.37511191,0.151404425,0,158.122299,1358.215939,46.19569674,17.36085773,2.004501031
2,Coastal Range (Chile) - North,Chile,Mountains,Deserts & Xeric Shrublands,49536.5,-70.174,-23.945,0.775338476,0.81952663,0.148151072,11.55398364,62.91372549,9.032475873,0,228.057556,0,577.3837607,0.003004344,9.80571718,49.05851172,17.88057262,2.622305638,0.177633945,7.041434711,1.109324759,9.45E-08,0.008188566,17.28068605,89.19634546,19.13102246,14.38967451,0.690773043
3,Coastal Range (Chile) - Central,Chile,Mountains,"Mediterranean Forests, Woodlands & Scrub",52492.64,-71.481,-32.752,0.695001735,0.649971699,1.921048296,25.23829659,127.3333333,401.7564809,30.58581194,3853.005327,3039.025508,11556.31066,0.459535947,1334.884967,581.3765266,8.303158809,310.6077622,338.6965367,30.61486668,60.65846995,0.189425891,0.000137756,58.53974328,363.0968968,23.35552999,15.26062046,1.39968962
4,Coastal Range (Chile) - South,Chile,Mountains,Temperate Broadleaf & Mixed Forests,55213.88,-73.781,-42.582,0.855915676,0.779103216,2.947784683,17.11671188,109.3459459,62.89441258,5.640820986,422.1337514,304.4582677,9232.268501,0.157980232,7184.412045,156.0715403,4.457219599,612.6332132,641.9999803,62.50599487,79.06947608,0.595756256,0.000969244,167.8772888,1096.779896,37.70750373,20.17335425,3.574085885
5,Cordillera Patagonica Sur,"Argentina, Chile",Mountains,Temperate Broadleaf & Mixed Forests,178136.96,-73.346,-49.675,0.768095435,0.732245825,0.651886323,16.91330075,92.8867078,0.047319202,0.145230672,306.3399947,1.000779295,1263.013345,0.218935666,5611.768308,12.19190721,1.201590526,564.0610797,590.4402025,20.81533487,36.23247117,0.180510874,0,166.55717,1181.215723,38.80337491,20.09837179,2.837506511
6,Cordillera principal,"Argentina, Chile",Mountains,Temperate Broadleaf & Mixed Forests,99599.98,-70.695,-36.577,0.752471826,0.758758564,1.391688581,27.88946713,102.918429,49.26240473,4.302971645,2094.663157,494.2434693,4008.371272,0.215265431,4424.602458,735.0022472,2.627047686,383.8962663,401.8843237,28.32237548,58.71354527,0.1478792,6.96E-06,92.35882924,474.1161668,24.62290042,21.14483723,2.773430933
7,Northern Patagonian Andes,"Argentina, Chile",Mountains,Temperate Broadleaf & Mixed Forests,93314.31,-72.06,-42.847,0.819213176,0.807151229,2.97681408,24.37389237,111.0715812,8.759578899,2.119769005,1091.329413,69.03356012,2927.841069,0.128875015,7186.218634,30.7891867,1.549766418,564.5098672,589.196703,52.87219862,84.08021045,0.54903263,0.000558929,150.1469734,1023.467622,37.7014098,26.08545973,4.149695456
8,Sierra de Ancasti,Argentina,Mountains,"Tropical & Subtropical Grasslands, Savannas & Shrublands",3101.18,-65.498,-28.693,0.657968991,0.692489648,2.860504609,46.15138282,244.1515152,491.188379,16.15581399,951.9953468,350.66744,13616.78904,0.071914624,444.3819178,297.0696261,0.010458339,527.0499197,570.9725448,62.71241283,54.1744186,0.35942023,0,59.53268501,470.942131,16.76441418,18.14725861,0.872127586
9,Sierra de Belen,Argentina,Mountains,Montane Grasslands & Shrublands,1986.21,-67.153,-27.799,0.797649338,0.838705132,0.433486239,32.68195719,115.1764706,35.60769161,27.90384596,1792.865382,504.519239,2196.574243,9.02E-05,2506.875136,524.12832,31.48230236,311.2837805,332.2305573,36.51251647,12.74,0.02462223,0,49.08425539,152.1285864,13.1940612,17.78448605,1.657936601
10,Sierra Fiambala,Argentina,Mountains,Montane Grasslands & Shrublands,1998.21,-67.355,-27.614,0.77539342,0.826484381,0.720894956,30.6693212,102,19.93214308,18.25357136,1666.664265,779.1964237,1003.867008,7.23E-07,2506.875136,524.12832,27.99942249,295.3794877,325.2227173,21.18439407,7.357142857,0.001738702,0,55.53392364,185.9517256,15.52015592,20.50759878,2.488100376
11,Sierra del Aconquija,Argentina,Mountains,Tropical & Subtropical Moist Broadleaf Forests,8994.42,-65.947,-26.95,0.739610994,0.732544542,2.987176221,52.77146497,203.6777778,23.62314045,3.175206617,1038.645458,209.8462825,3053.983512,0.078001641,1980.919642,1370.254108,1.663910405,736.7604347,793.9403938,35.98386625,37.74375,0.250143789,0,74.055721,515.6932653,19.83536384,17.6017669,0.733600905
